Simulation Time,used STY,used MDO
1398.57,0.00115367,6.16E-05
1402.06,0.00115654,6.18E-05
1405.52,0.00115941,6.20E-05
1408.99,0.00116228,6.21E-05
1412.48,0.00116515,6.23E-05
1416.02,0.00116802,6.24E-05
1419.54,0.00117089,6.26E-05
1423.07,0.00117375,6.27E-05
1426.58,0.00117662,6.29E-05
1430.06,0.00117949,6.30E-05
1433.64,0.00118236,6.32E-05
1437.16,0.00118523,6.33E-05
1440.68,0.00118809,6.35E-05
1444.11,0.00119096,6.37E-05
1447.63,0.00119382,6.38E-05
1451.12,0.00119669,6.40E-05
1454.6,0.00119956,6.41E-05
1458.05,0.00120243,6.43E-05
1461.58,0.00120529,6.44E-05
1464.98,0.00120816,6.46E-05
1468.51,0.00121103,6.47E-05
1471.97,0.0012139,6.49E-05
1475.36,0.00121676,6.50E-05
1478.85,0.00121963,6.52E-05
1482.36,0.00122249,6.54E-05
1485.9,0.00122536,6.55E-05
1489.27,0.00122823,6.57E-05
1492.8,0.0012311,6.58E-05
1496.29,0.00123396,6.60E-05
1499.85,0.00123683,6.61E-05
1503.46,0.0012397,6.63E-05
1506.92,0.00124257,6.64E-05
1510.34,0.00124544,6.66E-05
1513.86,0.00124831,6.67E-05
1517.31,0.00125117,6.69E-05
1520.87,0.00125404,6.71E-05
1524.39,0.00125691,6.72E-05
1527.79,0.00125978,6.74E-05
1531.35,0.00126265,6.75E-05
1534.85,0.00126551,6.77E-05
1538.35,0.00126838,6.78E-05
1541.86,0.00127125,6.80E-05
1545.41,0.00127412,6.81E-05
1548.84,0.00127699,6.83E-05
1552.34,0.00127985,6.84E-05
1555.82,0.00128272,6.86E-05
1559.38,0.00128559,6.88E-05
1562.88,0.00128846,6.89E-05
1566.43,0.00129132,6.91E-05
1569.88,0.00129419,6.92E-05
1573.42,0.00129706,6.94E-05
1577.01,0.00129992,6.95E-05
1580.54,0.00130279,6.97E-05
1584.09,0.00130566,6.98E-05
1587.56,0.00130853,7.00E-05
